Date,DXG,TCH,HDG,HDC,KDH,IDC,KBC,DPG,VHM,NLG
12/27/2024,"15,700","15,450","29,050","25,150","35,800","55,900","27,650","46,350","40,350","36,400"
12/26/2024,"16,000","15,650","29,800","25,350","35,850","56,200","27,550","47,750","40,650","36,200"
12/25/2024,"16,300","15,600","29,900","25,350","35,900","56,300","28,150","48,050","40,600","36,300"
12/24/2024,"16,450","15,100","30,000","25,300","35,950","56,000","27,600","47,700","40,350","35,700"
12/23/2024,"17,650","15,300","30,800","26,100","35,900","56,200","27,800","50,200","40,600","36,250"
12/20/2024,"17,850","15,000","30,200","26,150","35,850","56,100","27,600","51,000","40,350","36,350"
12/19/2024,"17,850","15,100","30,150","26,050","35,600","56,900","27,600","50,700","40,200","36,400"
12/18/2024,"18,050","15,500","30,500","26,450","35,000","57,000","28,150","51,500","40,900","37,300"
12/17/2024,"18,000","15,300","30,300","26,300","35,000","56,700","28,200","51,500","41,300","37,200"
12/16/2024,"17,950","15,300","30,200","26,300","34,600","57,000","28,350","51,000","40,950","37,500"
12/13/2024,"17,800","15,500","30,300","26,150","34,450","56,200","27,850","50,500","40,650","37,500"
12/12/2024,"18,000","15,700","30,400","26,100","34,550","56,400","28,250","51,300","40,750","37,850"
12/11/2024,"17,850","15,700","30,850","26,350","34,500","56,400","28,200","51,700","40,850","38,100"
12/10/2024,"17,800","15,750","30,650","26,700","34,500","57,000","28,700","52,200","40,950","38,200"
12/09/2024,"18,000","15,900","31,050","26,650","34,400","56,700","28,700","53,000","41,450","38,450"
12/06/2024,"17,700","15,800","30,200","26,550","33,800","56,300","28,700","52,700","41,500","38,300"
12/05/2024,"17,950","16,000","30,450","27,000","33,300","55,500","28,700","52,600","41,400","38,300"
12/04/2024,"16,800","15,300","28,850","25,700","32,850","53,800","28,000","51,500","40,100","36,900"
12/03/2024,"17,250","15,500","28,650","25,300","32,900","54,800","28,000","51,400","40,900","37,650"
12/02/2024,"17,250","15,600","28,600","25,300","32,850","55,500","27,950","51,800","40,750","37,950"
11/29/2024,"17,500","15,600","28,700","25,500","33,150","55,400","27,750","51,200","40,800","38,450"
11/28/2024,"17,400","15,650","28,900","25,400","33,050","54,800","27,800","51,300","41,100","38,300"
11/27/2024,"17,350","15,600","29,200","25,600","33,150","54,900","28,000","51,900","41,900","37,900"
11/26/2024,"17,200","15,650","28,550","25,600","33,200","55,200","27,850","52,000","42,400","38,500"
11/25/2024,"17,000","15,250","28,550","25,000","32,800","55,200","27,350","51,900","42,700","37,900"
11/22/2024,"16,800","15,500","28,250","24,650","32,600","54,200","27,000","52,000","41,600","37,550"
11/21/2024,"17,250","15,750","28,250","24,850","32,800","54,200","26,900","51,800","43,300","37,900"
11/20/2024,"17,100","15,750","28,050","24,700","32,550","54,000","26,900","51,400","43,300","37,800"
11/19/2024,"16,100","15,200","27,200","24,100","32,000","53,600","26,600","50,000","42,200","37,000"
11/18/2024,"16,450","15,150","27,450","24,600","32,600","55,300","27,600","51,900","40,800","37,000"
11/15/2024,"16,150","14,200","27,300","24,500","32,650","55,900","29,350","52,000","40,250","37,750"
11/14/2024,"16,000","14,500","27,850","25,350","33,350","56,400","28,650","52,600","40,350","38,600"
11/13/2024,"16,400","14,950","28,800","26,100","33,500","57,000","29,550","52,900","40,300","39,400"
11/12/2024,"16,050","15,100","28,000","25,400","33,450","57,500","28,700","52,400","40,300","39,450"
11/11/2024,"16,200","15,200","28,450","25,350","33,500","57,500","28,850","52,000","40,600","39,550"
11/08/2024,"16,350","15,500","28,100","25,600","33,550","57,000","28,800","52,000","40,000","39,600"
11/07/2024,"16,900","15,500","28,200","26,000","33,600","57,700","28,800","52,400","41,400","39,950"
11/06/2024,"16,900","15,500","27,800","25,800","33,400","58,000","28,850","52,000","41,550","39,900"
11/05/2024,"16,750","15,300","27,650","25,400","32,950","55,500","27,000","51,300","41,500","39,450"
11/04/2024,"16,800","15,250","27,450","25,200","33,000","55,700","27,050","50,400","41,500","39,500"
11/01/2024,"16,750","15,800","27,300","25,850","33,150","56,000","26,350","51,800","41,500","40,700"
10/31/2024,"16,600","16,150","26,650","26,050","33,500","56,000","26,300","51,300","41,500","39,850"
10/30/2024,"16,550","16,100","26,650","26,400","33,500","55,200","26,250","53,000","41,150","39,400"
10/29/2024,"16,350","16,100","26,550","26,300","33,500","53,700","26,300","56,900","42,750","39,100"
10/28/2024,"16,850","15,700","26,700","27,250","33,500","53,400","26,100","57,700","42,700","39,100"
10/25/2024,"16,600","15,600","26,600","27,200","33,150","52,900","25,900","57,300","43,850","38,750"
10/24/2024,"16,250","15,750","26,650","27,050","33,650","52,800","25,800","57,100","43,850","38,900"
10/23/2024,"16,600","15,850","26,950","27,450","33,300","54,400","26,250","57,700","47,000","39,300"
10/22/2024,"16,200","15,750","26,550","27,200","32,700","53,900","26,250","55,300","48,250","38,150"
10/21/2024,"16,150","15,500","26,750","26,200","32,500","55,600","27,250","54,300","47,800","38,200"
10/18/2024,"16,050","16,200","27,500","25,800","32,800","55,900","27,700","55,900","45,250","38,900"
